,RATING
532,3.4
533,3.8
534,4.0
535,4.0
536,3.4
537,4.2
538,3.6
539,3.0
540,3.8
541,4.0
542,3.8
543,4.0
544,4.0
545,4.6
546,4.0
547,2.4
548,4.0
549,3.6
550,4.2
551,4.0
552,3.2
553,3.4
554,4.2
555,3.8
556,4.2
557,4.0
558,3.6
559,3.6
560,3.8
561,4.0
562,4.0
563,3.8
564,4.2
565,3.6
566,4.2
567,4.0
568,4.2
569,4.0
570,3.6
571,4.2
572,4.0
573,4.0
574,3.0
575,3.8
576,4.4
577,4.2
578,4.0
579,2.8
580,3.8
581,2.8
582,3.6
583,4.0
584,4.0
585,4.0
586,4.0
587,4.0
588,4.2
589,3.8
590,4.4
591,4.0
592,3.4
593,3.8
594,4.0
595,4.0
596,3.4
597,4.2
598,3.6
599,3.0
600,3.8
601,4.0
602,3.8
603,4.0
604,4.0
605,4.6
606,4.0
607,2.4
608,4.0
609,3.6
610,4.2
611,4.0
612,3.2
613,3.4
614,4.2
615,3.8
616,4.2
617,4.0
618,3.6
619,3.6
620,3.8
621,4.0
622,4.0
623,3.8
624,4.2
625,3.6
626,4.2
627,4.0
628,4.2
629,4.0
630,3.6
631,4.2
632,4.0
633,4.0
634,3.0
635,3.8
636,4.4
637,4.2
638,4.0
639,2.8
640,3.8
641,2.8
642,3.6
643,4.0
644,4.0
645,4.0
646,4.0
647,4.0
648,4.2
649,3.8
650,4.4
651,4.0
652,3.4
653,3.8
654,4.0
655,4.0
656,3.4
657,4.2
658,3.6
659,3.0
660,3.8
661,4.0
662,3.8
663,4.0
664,4.0
665,4.6
666,4.0
667,2.4
668,4.0
669,3.6
670,4.2
671,4.0
672,3.2
673,3.4
674,4.2
675,3.8
676,4.2
677,4.0
678,3.6
679,3.6
680,3.8
681,4.0
682,4.0
683,3.8
684,4.2
685,3.6
686,4.2
687,4.0
688,4.2
689,4.0
690,3.6
691,4.2
692,4.0
693,4.0
694,3.0
695,3.8
696,4.4
697,4.2
698,4.0
699,2.8
700,3.8
701,2.8
702,3.6
703,4.0
704,4.0
705,4.0
706,4.0
707,4.0
708,4.2
709,3.8
710,4.4
711,4.0
712,3.4
713,3.8
714,4.0
715,4.0
716,3.4
717,4.2
718,3.6
719,3.0
720,3.8
721,4.0
722,3.8
723,4.0
724,4.0
725,4.6
726,4.0
727,2.4
728,4.0
729,3.6
730,4.2
731,4.0
732,3.2
733,3.4
734,4.2
735,3.8
736,4.2
737,4.0
738,3.6
739,3.6
740,3.8
741,4.0
742,4.0
743,3.8
744,4.2
745,3.6
746,4.2
747,4.0
748,4.2
749,4.0
750,3.6
751,4.2
752,4.0
753,4.0
754,3.0
755,3.8
756,4.4
757,4.2
758,4.0
759,2.8
760,3.8
761,2.8
762,3.6
763,4.0
764,4.0
765,4.0
766,4.0
767,4.0
768,4.2
769,3.8
770,4.4
771,4.0
772,3.4
773,3.8
774,4.0
775,4.0
776,3.4
777,4.2
778,3.6
779,3.0
780,3.8
781,4.0
782,3.8
783,4.0
784,4.0
785,4.6
